filename,bristol_type
dataset/3EYJWti0C3YK.jpg,7
dataset/8rmwR4PcOGs5.jpg,5
dataset/guZaWe6VWiGY.jpg,3
dataset/h5rVydkPXg1T.jpg,6
dataset/TWvTAHn0L0zL.jpeg,5
dataset/Captura de Tela 2025-10-23 às 10.51.42.png,6
dataset/Captura de Tela 2025-10-23 às 10.57.13.png,6
dataset/Captura de Tela 2025-10-23 às 10.57.47.png,6
dataset/Captura de Tela 2025-10-23 às 10.58.32.png,6
dataset/Captura de Tela 2025-10-23 às 10.59.05.png,2
dataset/Captura de Tela 2025-10-23 às 11.01.47.png,6
dataset/Captura de Tela 2025-10-23 às 11.04.45.png,3
dataset/Captura de Tela 2025-10-23 às 11.06.38.png,6
dataset/Captura de Tela 2025-10-23 às 11.08.13.png,5
dataset/Captura de Tela 2025-10-23 às 11.09.05.png,4
dataset/Captura de Tela 2025-10-23 às 11.09.38.png,2
dataset/Captura de Tela 2025-10-23 às 11.11.59.png,4
dataset/Captura de Tela 2025-10-23 às 11.12.43.png,4
dataset/Captura de Tela 2025-10-23 às 11.14.50.png,5
dataset/Captura de Tela 2025-10-23 às 11.15.21.png,5
dataset/Captura de Tela 2025-10-23 às 11.16.37.png,3
dataset/Captura de Tela 2025-10-23 às 11.17.16.png,1
dataset/Captura de Tela 2025-10-23 às 11.18.46.png,5
dataset/Captura de Tela 2025-10-23 às 11.41.33.png,4
dataset/Captura de Tela 2025-10-23 às 11.42.11.png,6
dataset/Captura de Tela 2025-10-23 às 11.45.16.png,3
dataset/Captura de Tela 2025-10-23 às 11.47.43.png,4
dataset/Captura de Tela 2025-10-23 às 11.50.37.png,6
dataset/Captura de Tela 2025-10-23 às 11.52.11.png,3
dataset/Captura de Tela 2025-10-23 às 11.53.53.png,1
dataset/Captura de Tela 2025-10-23 às 11.54.34.png,3
dataset/Captura de Tela 2025-10-23 às 11.56.25.png,6
dataset/Captura de Tela 2025-10-23 às 11.58.31.png,6
dataset/Captura de Tela 2025-10-23 às 11.59.06.png,5
dataset/Captura de Tela 2025-10-23 às 11.59.30.png,5
dataset/Captura de Tela 2025-10-23 às 12.04.51.png,5
dataset/Captura de Tela 2025-10-23 às 12.05.44.png,6
dataset/Captura de Tela 2025-10-23 às 12.06.26.png,6
dataset/Captura de Tela 2025-10-23 às 12.08.19.png,5
dataset/Captura de Tela 2025-10-23 às 12.11.33.png,6
dataset/Captura de Tela 2025-10-23 às 12.12.07.png,6
dataset/Captura de Tela 2025-10-23 às 12.13.04.png,5
dataset/Captura de Tela 2025-10-23 às 12.14.19.png,6
dataset/Captura de Tela 2025-10-23 às 12.16.26.png,7
dataset/Captura de Tela 2025-10-23 às 12.17.03.png,7
dataset/guZaWe6VWiGY.jpg,4
dataset/h5rVydkPXg1T.jpg,7
dataset/TWvTAHn0L0zL.jpeg,6
dataset/Captura de Tela 2025-11-05 às 08.59.53.png,5
dataset/Captura de Tela 2025-11-05 às 09.00.24.png,7
dataset/Captura de Tela 2025-11-05 às 09.00.52.png,7
dataset/Captura de Tela 2025-11-05 às 09.01.24.png,5
dataset/Captura de Tela 2025-11-05 às 09.07.45.png,6
dataset/Captura de Tela 2025-11-05 às 09.08.56.png,3
dataset/Captura de Tela 2025-11-05 às 09.09.23.png,7
dataset/Captura de Tela 2025-11-05 às 09.10.15.png,5
dataset/Captura de Tela 2025-11-05 às 09.10.47.png,7
dataset/Captura de Tela 2025-11-05 às 09.11.39.png,7
dataset/Captura de Tela 2025-11-05 às 09.12.28.png,5
dataset/Captura de Tela 2025-11-05 às 09.12.55.png,7
dataset/Captura de Tela 2025-11-05 às 09.13.38.png,7
dataset/Captura de Tela 2025-11-05 às 09.14.15.png,6
dataset/Captura de Tela 2025-11-05 às 09.15.16.png,7
dataset/Captura de Tela 2025-11-05 às 09.19.56.png,3
dataset/Captura de Tela 2025-11-05 às 09.20.33.png,6
dataset/Captura de Tela 2025-11-05 às 09.21.58.png,5
dataset/Captura de Tela 2025-11-05 às 09.25.31.png,6
dataset/Captura de Tela 2025-11-05 às 09.26.30.png,7
dataset/Captura de Tela 2025-11-05 às 09.30.48.png,1
dataset/Captura de Tela 2025-11-05 às 09.31.08.png,5
dataset/Captura de Tela 2025-11-05 às 09.31.27.png,6
dataset/Captura de Tela 2025-11-05 às 09.31.49.png,6
dataset/Captura de Tela 2025-11-05 às 09.37.09.png,6
dataset/Captura de Tela 2025-11-05 às 09.37.36.png,7
dataset/Captura de Tela 2025-11-05 às 09.37.58.png,5
dataset/Captura de Tela 2025-11-05 às 09.38.35.png,6
dataset/Captura de Tela 2025-11-05 às 09.39.13.png,5
dataset/Captura de Tela 2025-11-05 às 09.40.12.png,6
dataset/Captura de Tela 2025-11-05 às 09.41.09.png,7
dataset/Captura de Tela 2025-11-05 às 10.36.03.png,2
dataset/Captura de Tela 2025-11-05 às 10.36.23.png,1
dataset/Captura de Tela 2025-11-05 às 10.36.45.png,1
dataset/Captura de Tela 2025-11-05 às 10.37.06.png,1
dataset/Captura de Tela 2025-11-05 às 10.37.33.png,2
dataset/Captura de Tela 2025-11-05 às 10.37.56.png,1
dataset/Captura de Tela 2025-11-05 às 10.38.16.png,1
dataset/Captura de Tela 2025-11-05 às 10.38.48.png,3
dataset/Captura de Tela 2025-11-05 às 10.39.09.png,1
dataset/Captura de Tela 2025-11-05 às 10.39.31.png,1
dataset/Captura de Tela 2025-11-05 às 10.39.52.png,1
dataset/Captura de Tela 2025-11-05 às 10.40.12.png,1
dataset/Captura de Tela 2025-11-05 às 10.40.30.png,1
dataset/Captura de Tela 2025-11-05 às 10.40.55.png,1
